date,confirmed,deaths,country,new_cases,new_deaths,new_cases_7day_avg,growth_rate,case_fatality_rate,retail_recreation,grocery_pharmacy,transit,workplaces,residential
2020-12-14,9906165,143709,India,22065.0,354.0,28913.571428571428,0.2232373205451221,1.450702668489774,-17.06858054226475,23.011904761904763,-2.540284360189573,-9.60239162929746,12.63823064770932
2020-12-15,9932547,144096,India,26382.0,387.0,28099.571428571428,0.2663190043775687,1.4507457150718743,-15.84529505582137,24.31748726655348,0.0962145110410094,-9.439461883408072,12.392125984251969
2020-12-16,9956557,144451,India,24010.0,355.0,27026.571428571428,0.2417305450455042,1.4508127658988943,-16.923322683706072,24.483870967741936,0.6755905511811023,-6.515695067264574,12.580441640378549
2020-12-17,9979447,144789,India,22890.0,338.0,26100.42857142857,0.2298987491358817,1.4508719771746872,-18.77511961722488,21.23817567567568,-2.788976377952756,-7.4857997010463375,13.94488188976378
2020-12-18,10004599,145136,India,25152.0,347.0,25403.42857142857,0.2520380137296163,1.4506928263691528,-18.433333333333334,23.90693739424704,-1.9036334913112165,-6.406576980568012,14.2602523659306
2020-12-19,10031223,145477,India,26624.0,341.0,24884.85714285714,0.2661176125100084,1.4502419096853894,-19.488076311605724,22.00170068027211,-3.0347551342812005,-3.0254110612855007,13.638668779714738
2020-12-20,10055560,145810,India,24337.0,333.0,24494.285714285717,0.2426124910192895,1.4500435579917976,-21.003174603174603,17.01023890784983,-2.652448657187993,-0.7256371814092953,12.712
2020-12-21,10075116,146111,India,19556.0,301.0,24135.85714285714,0.1944794720532661,1.4502165533379467,-16.5232,23.59762308998302,-2.5070866141732284,-7.345291479820628,13.27602523659306
2020-12-22,10099066,146444,India,23950.0,333.0,23788.42857142857,0.2377143846284291,1.4500746900753,-17.73524720893142,20.60884353741497,-2.168769716088328,-8.768310911808669,13.20820189274448
2020-12-23,10123778,146756,India,24712.0,312.0,23888.714285714286,0.2446958956402456,1.4496169315447256,-15.7664,25.38917089678511,1.526813880126183,-5.431988041853513,12.80094786729858
2020-12-24,10146845,147092,India,23067.0,336.0,23914.0,0.227849721714568,1.4496328661766291,-14.77511961722488,26.0625,2.597791798107256,-8.070254110612854,12.90708661417323
2020-12-25,10169118,147343,India,22273.0,251.0,23502.714285714286,0.2195066545315427,1.4489260523872374,-14.952229299363058,23.96615905245347,-2.9131121642969986,-24.623318385650222,15.770569620253164
2020-12-26,10187850,147622,India,18732.0,279.0,22375.285714285717,0.184204765841045,1.4490005251353328,-20.10952380952381,19.210169491525424,-3.7811023622047246,-8.916292974588938,14.112519809825674
2020-12-27,10207871,147901,India,20021.0,279.0,21758.714285714286,0.1965184018217769,1.4488917424603034,-20.558917197452228,14.9106529209622,0.5142405063291139,-1.0314842578710646,11.88
2020-12-28,10224303,148153,India,16432.0,252.0,21312.42857142857,0.1609738210837541,1.4490278701638637,-15.61084529505582,24.11186440677966,-0.5617088607594937,-8.801195814648729,13.15615141955836
2020-12-29,10244852,148439,India,20549.0,286.0,20826.571428571428,0.200981915344256,1.4489130736100433,-17.465709728867623,20.593162393162395,-1.3012618296529967,-9.888059701492535,13.582677165354331
2020-12-30,10266674,148738,India,21822.0,299.0,20413.714285714286,0.2130045412076286,1.448745718428383,-16.3536,23.413559322033898,1.2188976377952756,-6.860986547085202,13.488958990536275
2020-12-31,10286709,148994,India,20035.0,256.0,19980.571428571428,0.1951459645061382,1.448412704199176,-10.212121212121213,30.998307952622675,3.916403785488959,-8.053811659192824,12.754716981132075
2021-01-01,10305788,149218,India,19079.0,224.0,19524.285714285717,0.1854723410567915,1.447904808443566,-17.68839427662957,17.853989813242784,-5.1645569620253164,-18.937219730941703,14.41390205371248
2021-01-02,10323965,149435,India,18177.0,217.0,19445.0,0.1763766147722112,1.4474574448867272,-20.36608557844691,20.47377326565144,-3.2933753943217665,-2.8490284005979074,13.613312202852615
2021-01-03,10340469,149649,India,16504.0,214.0,18942.571428571428,0.1598610611330153,1.4472167558357365,-21.65445859872612,15.355555555555556,-1.30173775671406,-0.1349325337331334,12.73076923076923
2021-01-04,10356844,149850,India,16375.0,201.0,18934.42857142857,0.1583583878062011,1.4468693358710434,-17.7424,22.26994906621392,-1.6971608832807572,-5.370702541106128,12.968503937007874
2021-01-05,10374932,150114,India,18088.0,264.0,18582.85714285714,0.1746477981130256,1.4468914109509343,-19.17038216560509,18.65143824027073,-2.2334384858044163,-6.559043348281016,12.93543307086614
2021-01-06,10395278,150336,India,20346.0,222.0,18372.0,0.19610730942623,1.446195089732088,-15.888535031847134,23.873096446700508,-0.9874015748031496,-2.759342301943198,12.75314465408805
2021-01-07,10413417,150570,India,18139.0,234.0,18101.14285714286,0.174492687930039,1.4459230817319615,-15.420382165605096,24.040677966101693,-1.75,-3.306427503736921,13.15251572327044
2021-01-08,10413417,150570,India,0.0,0.0,15375.57142857143,0.0,1.4459230817319615,-15.259554140127388,25.789830508474576,-2.189274447949527,-2.3527653213751867,12.71968503937008
2021-01-09,10450284,150999,India,36867.0,429.0,18045.571428571428,0.3540336471688388,1.4449272383410825,-16.40916271721959,23.346869712351943,-6.899212598425197,-5.488789237668161,12.35126582278481
2021-01-10,10466595,151160,India,16311.0,161.0,18018.0,0.1560818825593557,1.444213710380501,-16.704761904761906,21.667238421955403,-4.954186413902054,1.6746626686656672,10.83173076923077
2021-01-11,10479179,151327,India,12584.0,167.0,17476.428571428572,0.1202301225947888,1.44407305190607,-13.495222929936306,26.2098976109215,-5.971608832807571,-4.732436472346786,12.069291338582676
2021-01-12,10495147,151529,India,15968.0,202.0,17173.571428571428,0.1523783494871144,1.443800644240619,-14.30095541401274,24.670648464163826,-5.1719242902208205,-7.094170403587444,12.042586750788644
2021-01-13,10512093,151727,India,16946.0,198.0,16687.85714285714,0.1614651038237102,1.4433567130732194,-14.740445859872612,27.56536502546689,-3.7933753943217674,-9.25710014947683,10.874213836477988
2021-01-14,10527683,151918,India,15590.0,191.0,16323.714285714286,0.1483053850455773,1.4430335715845546,-25.563694267515924,4.189509306260575,-20.681388012618296,-29.327354260089685,14.242902208201892
2021-01-15,10542841,152093,India,15158.0,175.0,18489.14285714286,0.1439822988591022,1.4426187400530843,-23.26825396825397,9.005084745762712,-17.679810725552052,-19.739910313901344,11.74091627172196
2021-01-16,10557985,152274,India,15144.0,181.0,15385.857142857143,0.143642496363161,1.4422638410643698,-24.02365930599369,8.233502538071066,-17.296062992125986,-13.872944693572496,11.152380952380952
2021-01-17,10571773,152419,India,13788.0,145.0,15025.42857142857,0.1305931008615646,1.441754377435081,-23.89223454833597,7.677586206896552,-13.251184834123222,-10.533733133433284,10.381410256410255
